temperature,precipitation,humidity,windspeed,is_day,shortwave_radiation,year,month,day,id
16.2,0,34,1.8,0,0,2020,2,1,bb65214f-9199-4fcc-b114-0de55bc20c36
15.6,0,36,3.6,0,0,2020,2,1,03f06464-aa04-4b5b-aae4-cb8fec2a28e4
15.1,0,38,3.9,0,0,2020,2,1,5f58d71f-9661-4acd-8d85-701b63e5cf02
14.6,0,40,3.6,0,0,2020,2,1,844f8b41-5cf0-4b53-be60-549d5dcc7b59
13.8,0,43,3.5,0,0,2020,2,1,5985745b-8cdf-4562-acce-4feff6bb1bb3
13.9,0,44,2.5,0,0,2020,2,1,e013280c-019f-4706-8f90-bd8e9933d463
12.9,0,47,3.8,0,0,2020,2,1,61241000-6ce6-45a0-bd48-79448b94ab9b
12.8,0,42,11.8,0,0,2020,2,1,f7059ec9-d882-499c-acba-ddfa6916f1b1
12,0,40,7.5,1,9,2020,2,1,219d1eb8-1269-496e-8b6a-8ebe7108b0df
12.8,0,39,9.4,1,100,2020,2,1,6eab6720-e024-4ae1-bbb3-604ccb99ebd3
13.8,0,40,12.4,1,172,2020,2,1,9295096c-d8e9-46c7-aaba-d9c8c0c9dd15
16,0,37,14.1,1,433,2020,2,1,ebbecf9a-0e5f-4f8a-b3cd-43a51dd97a9c
18.6,0,32,16.3,1,650,2020,2,1,407bec4a-2841-43b2-b5f8-ddb7ac1986bd
21.1,0,28,16.9,1,819,2020,2,1,a44d39b4-e735-491d-9ab4-13616d015052
22.5,0,27,18,1,781,2020,2,1,ac8aa52c-ba5d-4429-8b85-88bd0ab038d1
23.6,0,26,15.3,1,618,2020,2,1,649292d4-6d4c-496e-8626-94dcf8a81971
23.9,0,26,6.4,1,474,2020,2,1,02181f13-10d9-4772-816c-cb781665a989
23.5,0,27,7.2,1,262,2020,2,1,36c588f6-4c19-4dd8-99b0-ed02cc7a580f
18.9,0,30,21.9,1,112,2020,2,1,7e2e56b8-7b1f-492a-8383-5a2d4a5a071f
17.7,0,32,18.6,0,15,2020,2,1,28c12864-11fb-482f-826e-5efed2dde37d
17.5,0,33,12.1,0,0,2020,2,1,023589f3-d5f7-48f8-9e9b-894237a117d0
17,0,34,7.8,0,0,2020,2,1,a3e8597d-9e12-4c5c-94fc-828ed9da9a07
16.7,0,35,3.1,0,0,2020,2,1,8069025f-c069-47c7-9950-44f164414706
16.3,0,38,4,0,0,2020,2,1,18cf7407-228f-4015-b2a7-d1d4e1f42d30
16,0,41,7.6,0,0,2020,2,2,7ffbbe95-349c-4a1a-a60f-96468c73471f
15.3,0,44,8.2,0,0,2020,2,2,3ca52cd0-9407-4100-9e19-c1db2973ea31
14.9,0,47,6.6,0,0,2020,2,2,2a570a8b-6f61-40d6-a92c-9f5129d84192
14.1,0,51,4.7,0,0,2020,2,2,b80166e4-01de-439c-8762-a291e2e2dff5
14.2,0,52,6.1,0,0,2020,2,2,fba93a4c-2e03-4c96-9d50-e6b208b5e473
13.7,0,55,6.9,0,0,2020,2,2,e4b1c537-0c6f-4fc2-b829-1231923a3abf
13.4,0,62,5.9,0,0,2020,2,2,a8bf38d7-faba-49cd-a077-9a4828a72d69
12.9,0.1,67,6,0,0,2020,2,2,8b7cc842-68a3-4280-b79f-73ba675f278f
12.9,0,69,5.4,1,7,2020,2,2,eecb2384-aed2-4c69-99ce-ab22237f954a
13.2,0.2,69,5.1,1,44,2020,2,2,b0acff9d-4fac-4e97-b300-b6f18c1ac7df
13.4,0.1,70,6.6,1,90,2020,2,2,86f1f064-c8a8-410a-a0db-1cc23b43a123
13.9,0.1,68,4.6,1,156,2020,2,2,9f1dd9b2-9ed2-4157-944e-f6b4e6cd36e9
14.9,0,64,6.4,1,257,2020,2,2,6ebc3417-9cc1-4cfc-a87f-4978a155aed3
15.4,0,64,5,1,205,2020,2,2,d7b42a6c-7055-41dd-9f7d-2499a50b040b
17.6,0,56,3.3,1,411,2020,2,2,e20e32cd-dfe7-4e8b-b9f2-d2c3dd867593
17.7,0.1,55,2.4,1,193,2020,2,2,45407e56-e743-4b1c-9f0e-a706bbd71133
17.8,0,56,4,1,131,2020,2,2,44e37117-aad4-4485-855d-2c693d60161a
18.3,0,55,4.1,1,202,2020,2,2,efc6d7e2-56fe-4973-b4c7-fb867abd03db
16.1,0.1,66,14,1,63,2020,2,2,2cda519a-f745-4e5c-8d97-89012a00302d
15.6,0,69,10.7,0,14,2020,2,2,fc50a178-78c8-4ce3-8b68-976dcbf7ca57
14.9,0,73,10.2,0,0,2020,2,2,7fdd56e9-c5da-4f14-a8fa-92ef64287004
14.2,0,77,7.1,0,0,2020,2,2,34f6e000-e23a-49df-b435-de6d46fc073b
13.4,0,82,4.2,0,0,2020,2,2,419b9825-5150-4333-91e5-88f92c589634
13.7,0,83,2.1,0,0,2020,2,2,8a4247c8-8b24-46f0-a59c-1c42d4350f4e
14.2,0,76,2.6,0,0,2020,2,3,d0f37bdc-c0ea-46b9-b53d-8ce6c558ee8d
13.3,0,80,2.7,0,0,2020,2,3,b99c0f35-4582-48c8-b795-d46c262e0099
12.7,0.1,83,3.1,0,0,2020,2,3,466dd968-d84d-4d5a-b6be-69d9d076d7ae
12.9,0,82,3.3,0,0,2020,2,3,c8791e30-0ca0-47c7-995e-a1460a3bcd74
12.9,0,83,1.8,0,0,2020,2,3,85f4f7f1-c0ac-494d-89f9-00ecae85d594
12,0,86,3.2,0,0,2020,2,3,a0972b48-62ce-4f04-87ee-25d1bd766b72
12.8,0,81,7.1,0,0,2020,2,3,664c4820-3626-4773-a51d-6ab0967e92f1
13.1,1.2,87,6.8,0,0,2020,2,3,32c1c33d-55c6-46df-bea4-10d1595e8638
13.2,2.7,89,7.1,1,2,2020,2,3,11a6cf55-911b-4388-b47b-835a06cf8459
13.4,1.3,89,4.1,1,19,2020,2,3,144d2d03-25bf-4154-a3ff-05e3f32aecc5
14.2,0.9,88,4,1,168,2020,2,3,7b9cabfb-b065-4e35-b6d7-85fa716e1852
14.4,0.4,86,3.1,1,133,2020,2,3,75d6720f-ca5f-442a-ac0e-6d8386268731
14.6,0.8,87,2.7,1,133,2020,2,3,dfd0e402-822c-45fc-87a8-a6a79425171f
14.7,1.5,86,8.4,1,135,2020,2,3,8a65c8e6-2b3a-42d9-af3e-89ba1f664788
14.4,2.3,88,6.7,1,149,2020,2,3,f61541b1-f272-42df-9fd7-3a7b30d9eea6
14.3,1.2,88,3.8,1,102,2020,2,3,1a5dd56d-a09e-40bd-a3d0-19fe416a2837
14.6,0.7,86,5.4,1,151,2020,2,3,0721b33b-9246-43c6-9fab-d69a4fc42682
15,0.4,83,4,1,146,2020,2,3,568046d3-e7aa-4a00-88f3-5d62228a3607
14.1,1.2,94,2.5,1,30,2020,2,3,fff610d0-5bc6-472a-aa0c-12aab0a75958
14,1.6,95,4.7,0,5,2020,2,3,d495038f-1dfe-4b40-b603-ed2d4059fde1
13.6,0.1,97,4.7,0,0,2020,2,3,3f0c23a9-6344-41e2-a486-b8cb2a51813d
13.3,0.1,97,3.2,0,0,2020,2,3,2043e8fe-cb06-41c7-9b5c-eac12dea3648
13.4,1.1,97,2.3,0,0,2020,2,3,55687196-eac1-4a57-9b40-48fc912dd60a
13.1,3.7,98,7.4,0,0,2020,2,3,febae92f-83ed-41a3-bb7e-6154df293ae1
13.3,5,96,13.2,0,0,2020,2,4,8a3ce2b1-5f4b-4648-8f0e-4b78ef626588
13.5,2.4,91,6.6,0,0,2020,2,4,1e6e19cb-84db-4d60-8e15-359841d51d47
12.8,0.1,91,4.9,0,0,2020,2,4,d56afb21-f92d-4cf3-bcb1-06625d20bffc
12,0.2,94,4.7,0,0,2020,2,4,26b92dfb-8547-4743-9ecb-ac3bf9f3cb5c
12,0.1,93,5.4,0,0,2020,2,4,207de097-54f4-492c-a9c8-bf772d144c49
11.4,0,94,4.7,0,0,2020,2,4,95e649a8-386f-4c1c-a7c6-16203e2b4bc7
11.4,0,98,3.4,0,0,2020,2,4,62dc2d97-0e53-4735-a80f-746c86afe4e1
11.2,0,97,3.1,0,0,2020,2,4,433db58e-9921-4037-83c1-c691d87165da
11.8,0,93,2.5,1,10,2020,2,4,9a6bb9b7-81dc-4440-88b1-26763647c5aa
13.3,0,89,2.3,1,133,2020,2,4,e13c9bec-5551-4452-a624-47503abeaac6
14.9,0.1,83,3.1,1,299,2020,2,4,009ef510-3797-43c7-acd5-f880e3442c9b
16.2,0.3,77,5.2,1,373,2020,2,4,5db6ab09-e63c-4462-86b6-0373f29e40d7
17.3,0.1,76,8.2,1,463,2020,2,4,ebf0a212-dd44-42b9-9b57-7ca4b6aa33b5
18.6,0.1,72,10.7,1,565,2020,2,4,d4ef1271-da2f-4bf2-9922-61ee2480e7f5
19.3,0.1,65,19.5,1,599,2020,2,4,aefca2ec-d74e-4d19-afdf-763e0b79ceeb
20.1,0.1,58,23.8,1,620,2020,2,4,2dd626b9-6d22-49ba-81dc-3f888d895037
20.2,0,53,23.3,1,533,2020,2,4,2cf4e539-411e-48c4-91f0-ec8e0a596607
20.2,0,50,22.2,1,431,2020,2,4,8be6ccce-b33e-452f-b6bb-d26382a2dee0
19,0,59,16.1,1,222,2020,2,4,a402c4a3-3ac0-4033-88ba-ef1a6a1a0353
16.8,0,66,15,0,30,2020,2,4,922734b1-6898-4606-bae8-2cea29a47dd9
15.6,0,72,17.4,0,0,2020,2,4,fb300d31-3fb5-4a6d-8ad2-153b0a5c4daa
15,0,78,16,0,0,2020,2,4,b34c1ad2-0f86-4692-82a0-266080b63c10
14.2,0,84,14.3,0,0,2020,2,4,86902475-9b18-4ffd-921c-59081f7f00ed
14,0,87,11.4,0,0,2020,2,4,9c0b7f54-76d4-44ed-a3b7-49d44c298c95
13.7,0,89,6.9,0,0,2020,2,5,8b8de451-9329-4abe-8968-26905934a621
13.2,0.7,91,10,0,0,2020,2,5,92a9178e-d217-4458-93a2-186ed54dc475
13.4,0.5,89,14.3,0,0,2020,2,5,7413688b-ae9a-4370-ae60-30bfde69bffb
13.1,0.1,92,11.9,0,0,2020,2,5,28f2c107-4d19-4c80-a206-12d05585838a
12.8,0,94,7.6,0,0,2020,2,5,e5d7e281-b111-4383-98cc-5c789bfa8645
12.3,0.1,95,4.9,0,0,2020,2,5,824d3df5-6972-4845-994f-7f79aa49f751
12.9,0.2,94,3.5,0,0,2020,2,5,6f7b9b5b-8add-4ad9-a158-19e9bfdc220d
12.5,0.5,95,4.9,0,0,2020,2,5,ce21c045-552d-4b3a-8c1d-a7fb7b196068
13.1,0.7,92,8.7,1,7,2020,2,5,7d587fd6-c454-4f73-bac8-a798e76896f7
14.2,0.1,86,11.2,1,85,2020,2,5,f1683773-f099-4e94-a162-777236eeb979
14.8,0.3,83,12.9,1,178,2020,2,5,986e7d83-b4ec-4436-8283-4b0281d86fae
14.8,0.6,84,13.2,1,157,2020,2,5,b06ae42d-e88c-4292-a809-a67d6f693484
16.7,0.1,75,20,1,365,2020,2,5,783f3016-ba65-4e9b-b930-e144520ca7ba
17.3,0.1,79,19.3,1,383,2020,2,5,0d3e92ad-51f4-435b-9e8e-eb3b1354ad03
17,0.2,74,25.8,1,417,2020,2,5,381c3c3c-0b6d-446e-94ca-b612d82f91dd
18.6,0.1,62,27.9,1,526,2020,2,5,18729e90-c7aa-4200-84a4-880acebda153
19.7,0.1,50,27.4,1,460,2020,2,5,50182834-dae9-45e3-9f61-fe9f2d2a957c
17.7,0,59,24.8,1,304,2020,2,5,b0c4078a-5051-46a6-9c62-d8b8152a8206
17.5,0,56,16.3,1,183,2020,2,5,2b2cda0e-b3cc-4340-acb3-29b445d4918a
15,0,66,9.6,0,39,2020,2,5,cd4ff3b9-a737-40b8-96e6-f7b54c9805ab
13.4,0,75,7.9,0,0,2020,2,5,9aaedb3c-8fe1-488a-bf94-7e9bff2b902e
12.4,0,80,8.4,0,0,2020,2,5,8147453b-1361-426e-9005-6b5606ccbf3f
11.8,0,74,10.5,0,0,2020,2,5,8db6658d-d8d2-470e-9cf1-00d92eee620b
11.2,0,71,9.7,0,0,2020,2,5,ede8f99f-1d08-4319-8e1d-99b5b8d0a747
10.5,0,75,9,0,0,2020,2,6,9e875a4c-5dfd-4c80-9bc4-64e811b107ad
10,0,79,9.7,0,0,2020,2,6,f19b548b-1fe0-45e2-8da8-712ccbb5f1c2
